image_id,gt_verb,gt_object,gt_verb_synset,gt_object_synset,pred_verb_synset,pred_object_synset,category,similarity_level,bin
36223,lick,bottle,lick.v.02,bottle.n.01,lick.v.02,clamshell.n.02,1,0,"(1, 0)"
20605,clean,keyboard,clean.v.01,keyboard.n.01,clean.v.01,generator.n.02,1,0,"(1, 0)"
23608,hold,cow,hold.v.02,cow.n.01,hold.v.02,person.n.01,1,0,"(1, 0)"
19438,straddle,motorcycle,straddle.v.01,motorcycle.n.01,straddle.v.01,sound_truck.n.01,1,0,"(1, 0)"
1745,load,horse,load.v.01,horse.n.01,load.v.01,bird.n.01,1,0,"(1, 0)"
6494,sit_on,bed,sit.v.01,bed.n.01,sit.v.01,soda_fountain.n.01,1,0,"(1, 0)"
32217,clean,toilet,clean.v.01,toilet.n.02,clean.v.01,weave.n.01,1,0,"(1, 0)"
8063,ride,snowboard,ride.v.01,snowboard.n.01,ride.v.01,boilerplate.n.02,1,0,"(1, 0)"
26150,wear,tie,wear.v.09,necktie.n.01,wear.v.09,bed_jacket.n.01,1,0,"(1, 0)"
17946,ride,bicycle,ride.v.01,bicycle.n.01,ride.v.01,lorry.n.02,1,0,"(1, 0)"
4689,open,laptop,open.v.01,laptop.n.01,open.v.01,starter.n.01,1,0,"(1, 0)"
12820,straddle,horse,straddle.v.01,horse.n.01,straddle.v.01,person.n.01,1,0,"(1, 0)"
761,talk_on,cell_phone,call.v.03,cellular_telephone.n.01,call.v.03,printer.n.02,1,0,"(1, 0)"
30739,carry,bicycle,transport.v.02,bicycle.n.01,transport.v.02,cup.n.01,1,0,"(1, 0)"
27267,inspect,truck,inspect.v.01,truck.n.01,inspect.v.01,bag.n.04,1,0,"(1, 0)"
9029,wash,horse,wash.v.03,horse.n.01,wash.v.03,person.n.01,1,0,"(1, 0)"
31421,row,boat,row.v.01,boat.n.01,row.v.01,airplane.n.01,1,0,"(1, 0)"
23521,carry,pizza,transport.v.02,pizza.n.01,transport.v.02,chicken_paprika.n.01,1,0,"(1, 0)"
26721,park,car,park.v.02,car.n.01,park.v.02,spoon.n.01,1,0,"(1, 0)"
