image_id,gt_verb,gt_object,gt_verb_synset,gt_object_synset,pred_verb_synset,pred_object_synset,category,similarity_level,bin
29860,throw,sports_ball,throw.v.01,ball.n.01,throw.v.01,cricket_equipment.n.01,1,1,"(1, 1)"
12147,carry,skateboard,transport.v.02,skateboard.n.01,transport.v.02,baby_buggy.n.01,1,1,"(1, 1)"
28885,jump,motorcycle,jump.v.01,motorcycle.n.01,jump.v.01,sports_car.n.01,1,1,"(1, 1)"
36099,repair,boat,repair.v.01,boat.n.01,repair.v.01,supertanker.n.01,1,1,"(1, 1)"
17350,sit_on,boat,sit.v.01,boat.n.01,sit.v.01,battle_cruiser.n.01,1,1,"(1, 1)"
26288,walk,horse,walk.v.09,horse.n.01,walk.v.09,elephant.n.01,1,1,"(1, 1)"
15947,blow,cake,blow.v.01,cake.n.03,blow.v.01,dog_biscuit.n.01,1,1,"(1, 1)"
21025,carry,snowboard,transport.v.02,snowboard.n.01,transport.v.02,panel.n.01,1,1,"(1, 1)"
28999,lie_on,bench,lie.v.02,bench.n.01,lie.v.02,bedroom_furniture.n.01,1,1,"(1, 1)"
2505,inspect,bus,inspect.v.01,bus.n.01,inspect.v.01,car_train.n.01,1,1,"(1, 1)"
33428,fill,wine_glass,fill.v.01,wineglass.n.01,fill.v.01,demitasse.n.02,1,1,"(1, 1)"
22870,hop_on,elephant,hop_on.v.01,elephant.n.01,hop_on.v.01,fur_seal.n.02,1,1,"(1, 1)"
14560,lie_on,bed,lie.v.02,bed.n.01,lie.v.02,lab_bench.n.01,1,1,"(1, 1)"
17494,adjust,tie,adjust.v.01,necktie.n.01,adjust.v.01,shawl.n.01,1,1,"(1, 1)"
15860,hold,bicycle,hold.v.02,bicycle.n.01,hold.v.02,trail_bike.n.01,1,1,"(1, 1)"
18089,carry,cell_phone,transport.v.02,cellular_telephone.n.01,transport.v.02,satellite_receiver.n.01,1,1,"(1, 1)"
21703,spin,sports_ball,whirl.v.02,ball.n.01,whirl.v.02,hammer.n.05,1,1,"(1, 1)"
14464,sit_on,airplane,sit.v.01,airplane.n.01,sit.v.01,helicopter.n.01,1,1,"(1, 1)"
10677,hold,horse,hold.v.02,horse.n.01,hold.v.02,elephant.n.01,1,1,"(1, 1)"
18583,carry,skis,transport.v.02,ski.n.01,transport.v.02,leaf_spring.n.01,1,1,"(1, 1)"
26819,hold,dog,hold.v.02,dog.n.01,hold.v.02,domestic_animal.n.01,1,1,"(1, 1)"
31143,pet,horse,pet.v.01,horse.n.01,pet.v.01,eohippus.n.01,1,1,"(1, 1)"
36276,carry,bottle,transport.v.02,bottle.n.01,transport.v.02,samovar.n.01,1,1,"(1, 1)"
34701,kick,sports_ball,kick.v.01,ball.n.01,kick.v.01,horseshoe.n.01,1,1,"(1, 1)"
30079,hold,sandwich,hold.v.02,sandwich.n.01,hold.v.02,turnover.n.02,1,1,"(1, 1)"
26620,inspect,car,inspect.v.01,car.n.01,inspect.v.01,tank.n.01,1,1,"(1, 1)"
793,swing,baseball_bat,swing.v.01,baseball_bat.n.01,swing.v.01,home_plate.n.01,1,1,"(1, 1)"
36411,hold,chair,hold.v.02,chair.n.01,hold.v.02,washstand.n.01,1,1,"(1, 1)"
33516,ride,elephant,ride.v.01,elephant.n.01,ride.v.01,elephant_seal.n.01,1,1,"(1, 1)"
4595,grind,skateboard,slide.v.03,skateboard.n.01,slide.v.03,safety_bicycle.n.01,1,1,"(1, 1)"
26790,inspect,backpack,inspect.v.01,backpack.n.01,inspect.v.01,sachet.n.01,1,1,"(1, 1)"
7492,carry,backpack,transport.v.02,backpack.n.01,transport.v.02,grocery_bag.n.01,1,1,"(1, 1)"
3442,run,horse,run.v.26,horse.n.01,run.v.26,elephant.n.01,1,1,"(1, 1)"
23026,groom,horse,groom.v.03,horse.n.01,groom.v.03,eohippus.n.01,1,1,"(1, 1)"
7564,sit_on,bicycle,sit.v.01,bicycle.n.01,sit.v.01,half_track.n.01,1,1,"(1, 1)"
37174,carry,book,transport.v.02,book.n.01,transport.v.02,compilation.n.01,1,1,"(1, 1)"
37542,fly,kite,fly.v.03,kite.n.03,fly.v.03,toy_soldier.n.01,1,1,"(1, 1)"
13789,inspect,bench,inspect.v.01,bench.n.01,inspect.v.01,single_bed.n.01,1,1,"(1, 1)"
35718,inspect,surfboard,inspect.v.01,surfboard.n.01,inspect.v.01,headboard.n.01,1,1,"(1, 1)"
31421,row,boat,row.v.01,boat.n.01,row.v.01,fleet_ballistic_missile_submarine.n.01,1,1,"(1, 1)"
11160,hold,toothbrush,hold.v.02,toothbrush.n.01,hold.v.02,stylus.n.01,1,1,"(1, 1)"
8553,stab,person,stab.v.02,person.n.01,stab.v.02,sailing_master.n.01,1,2,"(1, 2)"
23748,repair,laptop,repair.v.01,laptop.n.01,repair.v.01,portable_computer.n.01,1,2,"(1, 2)"
30056,wash,horse,wash.v.03,horse.n.01,wash.v.03,grey.n.07,1,2,"(1, 2)"
14245,launch,boat,launch.v.02,boat.n.01,launch.v.02,hulk.n.02,1,2,"(1, 2)"
11380,smell,banana,smell.v.01,banana.n.02,smell.v.01,bartlett.n.03,1,2,"(1, 2)"
11114,peel,apple,skin.v.04,apple.n.01,skin.v.04,hog_plum.n.03,1,2,"(1, 2)"
19756,carry,umbrella,transport.v.02,umbrella.n.01,transport.v.02,pressure_dome.n.01,1,2,"(1, 2)"
5284,carry,sandwich,transport.v.02,sandwich.n.01,transport.v.02,chicken_sandwich.n.01,1,2,"(1, 2)"
25703,kiss,dog,snog.v.01,dog.n.01,snog.v.01,old_english_sheepdog.n.01,1,2,"(1, 2)"
18808,drive,truck,drive.v.01,truck.n.01,drive.v.01,police_van.n.01,1,2,"(1, 2)"
4536,cut,hot_dog,cut.v.01,hotdog.n.01,cut.v.01,popinjay.n.01,1,2,"(1, 2)"
24210,hold,tie,hold.v.02,necktie.n.01,hold.v.02,black_tie.n.02,1,2,"(1, 2)"
34506,cut,tie,cut.v.01,necktie.n.01,cut.v.01,neckwear.n.01,1,2,"(1, 2)"
16057,hop_on,motorcycle,hop_on.v.01,motorcycle.n.01,hop_on.v.01,bicycle.n.01,1,2,"(1, 2)"
15806,park,motorcycle,park.v.02,motorcycle.n.01,park.v.02,motor_vehicle.n.01,1,2,"(1, 2)"
24745,carry,cup,transport.v.02,cup.n.01,transport.v.02,flute.n.02,1,2,"(1, 2)"
26180,carry,baseball_bat,transport.v.02,baseball_bat.n.01,transport.v.02,metal_wood.n.01,1,2,"(1, 2)"
1016,inspect,motorcycle,inspect.v.01,motorcycle.n.01,inspect.v.01,bicycle.n.01,1,2,"(1, 2)"
1745,kiss,horse,snog.v.01,horse.n.01,snog.v.01,cow_pony.n.01,1,2,"(1, 2)"
32250,ride,motorcycle,ride.v.01,motorcycle.n.01,ride.v.01,bicycle.n.01,1,2,"(1, 2)"
2970,hold,motorcycle,hold.v.02,motorcycle.n.01,hold.v.02,motor_vehicle.n.01,1,2,"(1, 2)"
22449,pick_up,suitcase,pick_up.v.02,bag.n.06,pick_up.v.02,dressing_case.n.01,1,2,"(1, 2)"
1806,feed,horse,feed.v.01,horse.n.01,feed.v.01,appaloosa.n.01,1,2,"(1, 2)"
31609,launch,boat,launch.v.02,boat.n.01,launch.v.02,yawl.n.02,1,2,"(1, 2)"
1838,pick_up,sports_ball,pick_up.v.02,ball.n.01,pick_up.v.02,football.n.02,1,2,"(1, 2)"
34191,wear,backpack,wear.v.09,backpack.n.01,wear.v.09,bag.n.01,1,2,"(1, 2)"
32933,swing,tennis_racket,swing.v.01,tennis_racket.n.01,swing.v.01,crosse.n.01,1,2,"(1, 2)"
15352,walk,sheep,walk.v.09,sheep.n.01,walk.v.09,bovid.n.01,1,2,"(1, 2)"
36152,ride,boat,ride.v.01,boat.n.01,ride.v.01,dhow.n.01,1,2,"(1, 2)"
7361,stand_on,skateboard,stand.v.01,skateboard.n.01,stand.v.01,wheeled_vehicle.n.01,1,2,"(1, 2)"
29446,hold,hot_dog,hold.v.02,hotdog.n.01,hold.v.02,person.n.01,1,2,"(1, 2)"
15616,groom,horse,groom.v.03,horse.n.01,groom.v.03,draft_horse.n.01,1,2,"(1, 2)"
31811,hug,person,embrace.v.02,person.n.01,embrace.v.02,mayor.n.01,1,2,"(1, 2)"
12574,jump,boat,jump.v.01,boat.n.01,jump.v.01,catamaran.n.01,1,2,"(1, 2)"
8676,lick,person,lick.v.02,person.n.01,lick.v.02,endomorph.n.01,1,2,"(1, 2)"
13097,lick,person,lick.v.02,person.n.01,lick.v.02,caveman.n.01,1,2,"(1, 2)"
5061,hold,skateboard,hold.v.02,skateboard.n.01,hold.v.02,scooter.n.02,1,2,"(1, 2)"
37894,spin,sports_ball,whirl.v.02,ball.n.01,whirl.v.02,quoit.n.01,1,2,"(1, 2)"
26424,repair,boat,repair.v.01,boat.n.01,repair.v.01,pocket_battleship.n.01,1,2,"(1, 2)"
5909,drag,surfboard,drag.v.01,surfboard.n.01,drag.v.01,ironing_board.n.01,1,2,"(1, 2)"
23673,read,cell_phone,read.v.01,cellular_telephone.n.01,read.v.01,ipod.n.01,1,2,"(1, 2)"
34139,watch,bird,watch.v.01,bird.n.01,watch.v.01,ratite.n.01,1,3,"(1, 3)"
9459,direct,car,steer.v.01,car.n.01,steer.v.01,hardtop.n.01,1,3,"(1, 3)"
9695,push,bicycle,push.v.01,bicycle.n.01,push.v.01,ordinary.n.04,1,3,"(1, 3)"
20946,hold,baseball_bat,hold.v.02,baseball_bat.n.01,hold.v.02,cricket_bat.n.01,1,3,"(1, 3)"
36649,inspect,dog,inspect.v.01,dog.n.01,inspect.v.01,norwich_terrier.n.01,1,3,"(1, 3)"
37022,wash,train,wash.v.03,train.n.01,wash.v.03,freight_liner.n.01,1,3,"(1, 3)"
11535,break,baseball_bat,break.v.05,baseball_bat.n.01,break.v.05,bat.n.05,1,3,"(1, 3)"
23488,hug,suitcase,embrace.v.02,bag.n.06,embrace.v.02,valise.n.01,1,3,"(1, 3)"
10249,pick_up,skateboard,pick_up.v.02,skateboard.n.01,pick_up.v.02,snowboard.n.01,1,3,"(1, 3)"
10491,jump,skateboard,jump.v.01,skateboard.n.01,jump.v.01,snowboard.n.01,1,3,"(1, 3)"
25054,open,laptop,open.v.01,laptop.n.01,open.v.01,personal_computer.n.01,1,3,"(1, 3)"
10413,hop_on,motorcycle,hop_on.v.01,motorcycle.n.01,hop_on.v.01,minibike.n.01,1,3,"(1, 3)"
24983,repair,umbrella,repair.v.01,umbrella.n.01,repair.v.01,canopy.n.03,1,3,"(1, 3)"
21573,stand_on,skateboard,stand.v.01,skateboard.n.01,stand.v.01,snowboard.n.01,1,3,"(1, 3)"
19486,sit_on,chair,sit.v.01,chair.n.01,sit.v.01,platform_rocker.n.01,1,3,"(1, 3)"
15891,flip,skateboard,flip.v.04,skateboard.n.01,flip.v.04,snowboard.n.01,1,3,"(1, 3)"
