image_id,gt_verb,gt_object,gt_verb_synset,gt_object_synset,pred_verb_synset,pred_object_synset,category,similarity_level,bin
33428,lick,wine_glass,lick.v.02,wineglass.n.01,lick.v.02,schooner.n.01,1,1,"(1, 1)"
27126,wash,bus,wash.v.03,bus.n.01,wash.v.03,boat_train.n.01,1,1,"(1, 1)"
15015,hold,backpack,hold.v.02,backpack.n.01,hold.v.02,pocket.n.01,1,1,"(1, 1)"
13789,inspect,bench,inspect.v.01,bench.n.01,inspect.v.01,deathbed.n.02,1,1,"(1, 1)"
25481,tie,boat,tie.v.01,boat.n.01,tie.v.01,aircraft_carrier.n.01,1,1,"(1, 1)"
10491,jump,skateboard,jump.v.01,skateboard.n.01,jump.v.01,palette.n.02,1,1,"(1, 1)"
33723,hold,snowboard,hold.v.02,snowboard.n.01,hold.v.02,springboard.n.01,1,1,"(1, 1)"
5040,wear,snowboard,wear.v.09,snowboard.n.01,wear.v.09,beaver_board.n.01,1,1,"(1, 1)"
5909,drag,surfboard,drag.v.01,surfboard.n.01,drag.v.01,sideboard.n.02,1,1,"(1, 1)"
2853,talk_on,cell_phone,call.v.03,cellular_telephone.n.01,call.v.03,scanner.n.04,1,1,"(1, 1)"
1624,carry,skateboard,transport.v.02,skateboard.n.01,transport.v.02,baby_buggy.n.01,1,1,"(1, 1)"
5815,ride,airplane,ride.v.01,airplane.n.01,ride.v.01,balloon.n.01,1,1,"(1, 1)"
25485,carry,skateboard,transport.v.02,skateboard.n.01,transport.v.02,doodlebug.n.01,1,1,"(1, 1)"
14902,read,laptop,read.v.01,laptop.n.01,read.v.01,supercomputer.n.01,1,1,"(1, 1)"
7207,hold,skateboard,hold.v.02,skateboard.n.01,hold.v.02,wagon.n.04,1,1,"(1, 1)"
4630,ride,surfboard,ride.v.01,surfboard.n.01,ride.v.01,workboard.n.01,1,1,"(1, 1)"
2505,exit,bus,exit.v.01,bus.n.01,exit.v.01,ice_wagon.n.01,1,1,"(1, 1)"
36099,stand_on,boat,stand.v.01,boat.n.01,stand.v.01,attack_submarine.n.01,1,1,"(1, 1)"
28548,ride,skateboard,ride.v.01,skateboard.n.01,ride.v.01,motorcycle.n.01,1,1,"(1, 1)"
35031,repair,cell_phone,repair.v.01,cellular_telephone.n.01,repair.v.01,electronic_fetal_monitor.n.01,1,1,"(1, 1)"
19438,straddle,motorcycle,straddle.v.01,motorcycle.n.01,straddle.v.01,iron_horse.n.01,1,1,"(1, 1)"
28135,carry,pizza,transport.v.02,pizza.n.01,transport.v.02,welsh_rarebit.n.01,1,1,"(1, 1)"
14464,sit_on,airplane,sit.v.01,airplane.n.01,sit.v.01,patrol_boat.n.01,1,1,"(1, 1)"
32217,clean,toilet,clean.v.01,toilet.n.02,clean.v.01,sink.n.01,1,1,"(1, 1)"
15505,text_on,cell_phone,message.v.03,cellular_telephone.n.01,message.v.03,ghetto_blaster.n.01,1,1,"(1, 1)"
29493,toast,wine_glass,toast.v.02,wineglass.n.01,toast.v.02,saltcellar.n.01,1,1,"(1, 1)"
17244,clean,bed,clean.v.01,bed.n.01,clean.v.01,dresser.n.05,1,1,"(1, 1)"
33648,hold,suitcase,hold.v.02,bag.n.06,hold.v.02,cigarette_case.n.01,1,1,"(1, 1)"
33516,ride,elephant,ride.v.01,elephant.n.01,ride.v.01,odd-toed_ungulate.n.01,1,1,"(1, 1)"
16154,inspect,bicycle,inspect.v.01,bicycle.n.01,inspect.v.01,car.n.02,1,1,"(1, 1)"
30517,run,horse,run.v.26,horse.n.01,run.v.26,elephant.n.01,1,1,"(1, 1)"
8792,ride,motorcycle,ride.v.01,motorcycle.n.01,ride.v.01,golfcart.n.01,1,1,"(1, 1)"
37542,fly,kite,fly.v.03,kite.n.03,fly.v.03,rag_doll.n.01,1,1,"(1, 1)"
1745,hop_on,horse,hop_on.v.01,horse.n.01,hop_on.v.01,eohippus.n.01,1,1,"(1, 1)"
12574,jump,boat,jump.v.01,boat.n.01,jump.v.01,battle_cruiser.n.01,1,1,"(1, 1)"
30962,stand_under,umbrella,stand.v.01,umbrella.n.01,stand.v.01,bell_jar.n.01,1,1,"(1, 1)"
6860,hold,bottle,hold.v.02,bottle.n.01,hold.v.02,eyecup.n.01,1,1,"(1, 1)"
3754,sit_on,truck,sit.v.01,truck.n.01,sit.v.01,steam_locomotive.n.01,1,1,"(1, 1)"
20988,race,motorcycle,race.v.04,motorcycle.n.01,race.v.04,go-kart.n.01,1,1,"(1, 1)"
22870,hop_on,elephant,hop_on.v.01,elephant.n.01,hop_on.v.01,elephant_seal.n.01,1,1,"(1, 1)"
2647,open,backpack,open.v.01,backpack.n.01,open.v.01,sporran.n.01,1,1,"(1, 1)"
14822,wave,bus,beckon.v.01,bus.n.01,beckon.v.01,rolling_stock.n.01,1,2,"(1, 2)"
2984,set,umbrella,set.v.08,umbrella.n.01,set.v.08,tester.n.02,1,2,"(1, 2)"
12219,lasso,cow,lasso.v.01,cow.n.01,lasso.v.01,asian_wild_ox.n.01,1,2,"(1, 2)"
16664,pick_up,cake,pick_up.v.02,cake.n.03,pick_up.v.02,cracked-wheat_bread.n.01,1,2,"(1, 2)"
29177,inspect,truck,inspect.v.01,truck.n.01,inspect.v.01,car.n.01,1,2,"(1, 2)"
11314,hold,hair_drier,hold.v.02,hand_blower.n.01,hold.v.02,dryer.n.01,1,2,"(1, 2)"
3218,open,umbrella,open.v.01,umbrella.n.01,open.v.01,dome.n.04,1,2,"(1, 2)"
30028,straddle,motorcycle,straddle.v.01,motorcycle.n.01,straddle.v.01,bicycle.n.01,1,2,"(1, 2)"
36675,run,dog,run.v.26,dog.n.01,run.v.26,french_bulldog.n.01,1,2,"(1, 2)"
22118,hold,elephant,hold.v.02,elephant.n.01,hold.v.02,rhinoceros.n.01,1,2,"(1, 2)"
35444,block,sports_ball,obstruct.v.02,ball.n.01,obstruct.v.02,football.n.02,1,2,"(1, 2)"
29737,clean,dining_table,clean.v.01,dining_table.n.01,clean.v.01,worktable.n.01,1,2,"(1, 2)"
33429,jump,motorcycle,jump.v.01,motorcycle.n.01,jump.v.01,motor_vehicle.n.01,1,2,"(1, 2)"
8984,jump,skateboard,jump.v.01,skateboard.n.01,jump.v.01,aquaplane.n.01,1,2,"(1, 2)"
34380,throw,frisbee,throw.v.01,frisbee.n.01,throw.v.01,hula-hoop.n.01,1,2,"(1, 2)"
18808,drive,truck,drive.v.01,truck.n.01,drive.v.01,moving_van.n.01,1,2,"(1, 2)"
36276,carry,bottle,transport.v.02,bottle.n.01,transport.v.02,hogshead.n.02,1,2,"(1, 2)"
37020,ride,train,ride.v.01,train.n.01,ride.v.01,deadhead.n.02,1,2,"(1, 2)"
10305,carry,chair,transport.v.02,chair.n.01,transport.v.02,shoofly.n.02,1,2,"(1, 2)"
34506,cut,tie,cut.v.01,necktie.n.01,cut.v.01,string_tie.n.01,1,2,"(1, 2)"
32849,hop_on,bicycle,hop_on.v.01,bicycle.n.01,hop_on.v.01,motorcycle.n.01,1,2,"(1, 2)"
6391,cut,banana,cut.v.01,banana.n.02,cut.v.01,canistel.n.02,1,2,"(1, 2)"
24180,sit_on,boat,sit.v.01,boat.n.01,sit.v.01,trireme.n.01,1,2,"(1, 2)"
36693,walk,dog,walk.v.09,dog.n.01,walk.v.09,hound.n.01,1,2,"(1, 2)"
32068,feed,horse,feed.v.01,horse.n.01,feed.v.01,chestnut.n.06,1,2,"(1, 2)"
23317,pick_up,skateboard,pick_up.v.02,skateboard.n.01,pick_up.v.02,wheeled_vehicle.n.01,1,2,"(1, 2)"
16611,sit_on,couch,sit.v.01,sofa.n.01,sit.v.01,bench.n.01,1,2,"(1, 2)"
31046,walk,horse,walk.v.09,horse.n.01,walk.v.09,chestnut.n.06,1,2,"(1, 2)"
25536,hose,car,hose.v.01,car.n.01,hose.v.01,berlin.n.03,1,2,"(1, 2)"
13429,smell,banana,smell.v.01,banana.n.02,smell.v.01,papaw.n.02,1,2,"(1, 2)"
12396,lie_on,bed,lie.v.02,bed.n.01,lie.v.02,single_bed.n.01,1,2,"(1, 2)"
21049,grind,skateboard,slide.v.03,skateboard.n.01,slide.v.03,handcar.n.01,1,2,"(1, 2)"
